ts,platform,ms_played,conn_country,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2024-11-21 07:00:23+00:00,android,151120,US,Lobster,Boy Called Cute,Should Have & Could've Beens,spotify:track:5roJHNawFJN8OObQtPr4vm,fwdbtn,endplay,True,True,False,1732172261.0,False
2024-11-21 07:10:31+00:00,android,4700,US,No. 1 Party Anthem,Arctic Monkeys,AM,spotify:track:5TTGoX70AFrTvuEtqHK37S,clickrow,logout,False,False,False,1732172423.0,False
2024-11-21 08:45:01+00:00,android,161840,US,Come Back to Earth,Mac Miller,Swimming,spotify:track:01z2fBGB8Hl3Jd3zXe4IXR,clickrow,trackdone,False,False,False,1732178540.0,False
2024-11-21 08:49:06+00:00,android,245640,US,Hurt Feelings,Mac Miller,Swimming,spotify:track:5p7GiBZNL1afJJDUrOA6C8,trackdone,trackdone,False,False,False,1732178701.0,False
2024-11-21 08:53:55+00:00,android,288640,US,What's the Use?,Mac Miller,Swimming,spotify:track:2dgrYdgguVZKeCsrVb9XEs,trackdone,trackdone,False,False,False,1732178946.0,False
2024-11-21 08:57:31+00:00,android,215413,US,Perfecto,Mac Miller,Swimming,spotify:track:0Xcy81PsJCOO6mhLZaQyQ4,trackdone,trackdone,False,False,False,1732179235.0,False
2024-11-21 09:03:16+00:00,android,345133,US,Self Care,Mac Miller,Swimming,spotify:track:5bJ1DrEM4hNCafcDd1oxHx,trackdone,trackdone,False,False,False,1732179450.0,False
2024-11-21 09:07:26+00:00,android,250120,US,Wings,Mac Miller,Swimming,spotify:track:16umSNZfofRpDqTvf8DIAo,trackdone,trackdone,False,False,False,1732179796.0,False
2024-11-21 09:12:13+00:00,android,287040,US,Ladders,Mac Miller,Swimming,spotify:track:39NDBdU5Xkm5pCFGa5kZtI,trackdone,trackdone,False,False,False,1732180046.0,False
2024-11-21 09:16:45+00:00,android,271733,US,Small Worlds,Mac Miller,Swimming,spotify:track:4gT3mNJA8lnlkYFqGZ8IA2,trackdone,trackdone,False,False,False,1732180333.0,False
2024-11-21 09:20:15+00:00,android,210253,US,Conversation Pt. 1,Mac Miller,Swimming,spotify:track:1oFEAWvPHP5TdSlmIs77sV,trackdone,trackdone,False,False,False,1732180604.0,False
2024-11-21 09:24:12+00:00,android,237093,US,Dunno,Mac Miller,Swimming,spotify:track:3YnwIp2b99p3e5dsFTXIIx,trackdone,trackdone,False,False,False,1732180815.0,False
2024-11-21 09:26:17+00:00,android,90001,US,Jet Fuel,Mac Miller,Swimming,spotify:track:2JmFRXaJrkAUD2cs6U20KG,trackdone,unexpected-exit,False,False,False,1732181052.0,False
2024-11-21 15:18:35+00:00,android,25180,US,Backseat Freestyle,Kendrick Lamar,"good kid, m.A.A.d city",spotify:track:3aGibUHhQyBsyumYHylw0K,clickrow,logout,True,False,False,1732201688.0,False
2024-11-21 15:29:00+00:00,android,214826,US,FEEL.,Kendrick Lamar,DAMN.,spotify:track:2LTlO3NuNVN70lp2ZbVswF,clickrow,trackdone,False,False,False,1732202726.0,False
2024-11-21 15:32:48+00:00,android,227360,US,LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,DAMN.,spotify:track:6SwRhMLwNqEi6alNPVG00n,trackdone,trackdone,False,False,False,1732202940.0,False
2024-11-21 15:37:23+00:00,android,275253,US,PRIDE.,Kendrick Lamar,DAMN.,spotify:track:6IZvVAP7VPPnsGX6bvgkqg,trackdone,trackdone,False,False,False,1732203168.0,False
2024-11-21 15:38:39+00:00,android,74833,US,HUMBLE.,Kendrick Lamar,DAMN.,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,trackdone,fwdbtn,False,True,False,1732203443.0,False
2024-11-21 15:43:46+00:00,android,307880,US,LUST.,Kendrick Lamar,DAMN.,spotify:track:06FCvd7rrRcF3DdvWH5Isp,fwdbtn,trackdone,False,False,False,1732203519.0,False
2024-11-21 15:43:59+00:00,android,12024,US,LOVE. FEAT. ZACARI.,Kendrick Lamar,DAMN.,spotify:track:6PGoSes0D9eUDeeAafB2As,trackdone,fwdbtn,False,True,False,1732203826.0,False
2024-11-21 15:48:15+00:00,android,254200,US,XXX. FEAT. U2.,Kendrick Lamar,DAMN.,spotify:track:4iYRa2btalAzPZoSYfROqF,fwdbtn,trackdone,False,False,False,1732203839.0,False
2024-11-21 15:56:16+00:00,android,460573,US,FEAR.,Kendrick Lamar,DAMN.,spotify:track:23luOrEVHMfoX0AhfbQuS6,trackdone,trackdone,False,False,False,1732204095.0,False
2024-11-21 16:00:24+00:00,android,248826,US,GOD.,Kendrick Lamar,DAMN.,spotify:track:5p3NP9mQblDsVJLdfNZJ3I,trackdone,trackdone,False,False,False,1732204575.0,False
2024-11-21 16:04:33+00:00,android,248613,US,DUCKWORTH.,Kendrick Lamar,DAMN.,spotify:track:0y9uTzK9cNKSAEHnpeRG8C,trackdone,trackdone,False,False,False,1732204824.0,False
2024-11-21 16:08:28+00:00,android,120426,US,King of Carrot Flowers Pt. 1,Neutral Milk Hotel,In the Aeroplane Over the Sea,spotify:track:5CU1bbfY1wUPm7fU255Dhf,clickrow,trackdone,False,False,False,1732205188.0,False
2024-11-21 16:11:34+00:00,android,186280,US,King of Carrot Flowers Pts. 2 & 3,Neutral Milk Hotel,In the Aeroplane Over the Sea,spotify:track:1ULovMYbbglXIn9TQzMsKz,trackdone,trackdone,False,False,False,1732205308.0,False
